,I,V,R,T,delT
0,0.01,0.072,7.199999999999999,25.399999999999974,268.92618408385147
1,0.8,55.3,69.12499999999999,1936.6654320987652,1825.713241921177
2,0.89,67.3,75.61797752808988,2137.065973089194,1997.1936465038264
3,0.97,77.5,79.89690721649485,2269.1317042128044,2110.199744424754
4,1.04,88.1,84.71153846153845,2417.7314339981003,2237.3561089494287
5,1.16,107.7,92.8448275862069,2668.758876117497,2452.160445156572
